mac,name,org,venue,model,firmware,uptime,up_days,cpu_busy_pct,cpu_load_1m,cpu_load_5m,cpu_load_15m,mem_used_pct,mem_free_pct,num_ifaces,num_ssids,num_assocs,chan_2g,width_2g,chan_5g,width_5g,chan_6g,width_6g,conf_2g,conf_5g,conf_6g,conf_2g_bw,conf_5g_bw,conf_6g_bw,last_state,wan_carrier,wan_speed,wan_duplex
d077ce1fdbc8,WAP037-RM-332-334,Intello,Motel 6 Whitby,edgecore_eap102,Shasta-AP-NOS Rel 2.1 build 22,578805,6.7,4,0.190433,0.098634,0.024903,24.34,75.66,3,4,6,6,20,36,40,0,0,auto,auto,unknown,20,40,unknown,-214.100862,1,1000,full
d4babaa15100,HQ-WF196-5100-Warehouse,TekSecute HQ,TekSecute HQ,cig_wf196,Shasta-AP-NOS Rel 2.1 build 22,3062599,35.45,1,0.029786,0.032227,0,27.53,72.47,1,6,3,6,20,52,80,0,0,auto,52,1,20,80,40,-217.100862,1,1000,full
d4babaa15160,HQ-WF196-5160-SE,TekSecute HQ,TekSecute HQ,cig_wf196,Shasta-AP-NOS Rel 2.1 build 22,3062573,35.45,2,0,0.011231,0,28.22,71.78,1,6,5,11,20,36,80,0,0,auto,36,1,20,80,40,-189.100862,1,1000,full
d4babaa151c0,HQ-WF196-51c0-NE,TekSecute HQ,TekSecute HQ,cig_wf196,Shasta-AP-NOS Rel 2.1 build 22,3062588,35.45,2,0.093263,0.040528,0.005371,28.01,71.99,1,6,4,1,20,149,80,0,0,auto,149,1,20,80,40,-209.100862,1,1000,full
d4babaa15480,HQ-WF196-5480-Lobby,TekSecute HQ,TekSecute HQ,cig_wf196,Shasta-AP-NOS Rel 2.1 build 22,3062577,35.45,2,0.001953,0.005859,0,27.33,72.67,1,6,1,6,20,100,80,0,0,auto,100,1,20,80,40,-198.100862,1,1000,full
d4babaa16d8e,d4babaa16d8e,unknown,unknown,cig_wf188n,Shasta-AP-NOS Rel 2.2 build 22,14089,0.16,1,0,0,0,38.94,61.06,2,2,0,3,20,116,40,0,0,auto,auto,unknown,20,40,unknown,-196.100862,1,1000,full
d4babaa1da48,AP00-Garage AP2,Temple Buildings,Temple Rochester,cig_wf660a,Shasta-AP-NOS Rel 2.1 build 21,4311243,49.9,7,0.064942,0.135256,0.118654,25.71,74.29,1,2,1,6,20,36,40,0,0,auto,auto,unknown,20,40,unknown,-212.100862,1,1000,full
d4babaa1da60,AP00-Garage AP4,Temple Buildings,Temple Rochester,cig_wf660a,Shasta-AP-NOS Rel 2.1 build 21,4309715,49.88,6,0.035645,0.113283,0.102052,24.64,75.36,1,2,0,6,20,157,40,0,0,auto,auto,unknown,20,40,unknown,-185.100862,1,1000,full
d4babaa1da78,AP00-Garage AP3,Temple Buildings,Temple Rochester,cig_wf660a,Shasta-AP-NOS Rel 2.1 build 21,4309541,49.88,7,0.042969,0.107424,0.123537,25.93,74.07,1,2,0,6,20,157,40,0,0,auto,auto,unknown,20,40,unknown,-194.100862,1,1000,full
d4babaa1db38,AP00-Garage AP1,Temple Buildings,Temple Rochester,cig_wf660a,Shasta-AP-NOS Rel 2.1 build 21,4311272,49.9,6,0.109865,0.101564,0.093751,20.09,79.91,1,2,0,6,20,157,40,0,0,auto,auto,unknown,20,40,unknown,-242.100862,1,1000,full
